iter	Passed	Remaining
0	744	743709
1	1394	695638
2	2009	667804
3	2630	655060
4	3273	651337
5	3898	645782
6	4337	615260
7	4981	617707
8	5594	615962
9	6196	613452
10	6826	613732
11	7459	614160
12	8136	617780
13	8705	613094
14	9178	602719
15	9621	591724
16	10387	600617
17	10949	597376
18	11477	592584
19	12109	593348
20	12691	591675
21	13260	589510
22	13815	586871
23	14252	579603
24	14868	579855
25	15402	576989
26	16072	579197
27	16547	574422
28	17059	571213
29	17652	570772
30	18128	566671
31	18601	562690
32	19114	560115
33	19538	555127
34	19985	551037
35	20493	548763
36	21045	547752
37	21539	545277
38	22035	542978
39	22628	543088
40	23189	542403
41	23625	538889
42	24134	537123
43	24740	537540
44	25352	538033
45	25886	536870
46	26370	534708
47	26776	531069
48	27324	530313
49	27917	530427
50	28433	529081
51	28880	526522
52	29403	525372
53	29890	523639
54	30429	522831
55	30971	522084
56	31436	520078
57	31915	518350
58	32444	517460
59	33046	517736
60	33528	516116
61	34071	515464
62	34528	513544
63	35132	513818
64	35700	513541
65	36131	511313
66	36673	510690
67	37179	509584
68	37707	508776
69	38105	506264
70	38549	504401
71	38971	502296
72	39464	501148
73	40052	501191
74	40542	500020
75	41099	499680
76	41746	500414
77	42319	500243
78	42972	500988
79	43448	499654
80	44017	499405
81	44541	498646
82	45038	497595
83	45599	497249
84	46197	497302
85	46681	496122
86	47199	495322
87	47684	494183
88	48192	493299
89	48752	492939
90	49276	492226
91	49740	490919
92	50157	489168
93	50722	488874
94	51314	488836
95	51901	488740
96	52421	488006
97	52835	486304
98	53539	487259
99	54186	487675
100	54769	487500
101	55439	488083
102	55943	487197
103	56424	486122
104	56937	485325
105	57409	484193
106	57916	483359
107	58446	482726
108	58979	482113
109	59499	481408
110	60057	480999
111	60582	480336
112	61110	479692
113	61670	479295
114	62242	478993
115	62765	478316
116	63213	477074
117	63725	476318
118	64343	476359
119	64951	476308
120	65533	476062
121	66106	475750
122	66623	475028
123	67137	474293
124	67757	474304
125	68352	474126
126	68865	473379
127	69347	472429
128	69865	471724
129	70429	471335
130	70948	470645
131	71438	469762
132	71935	468935
133	72708	469891
134	73326	469834
135	73852	469182
136	74440	468922
137	75021	468609
138	75542	467930
139	76037	467084
140	76403	465465
141	77035	465469
142	77531	464647
143	78090	464202
144	78713	464140
145	79328	464016
146	79878	463514
147	80424	462985
148	80970	462457
149	81501	461843
150	82292	462689
151	82958	462820
152	83663	463157
